,point,cell,grid,lat,lon,zscore(2021-6),zscore(2021-7),smad(2021-6),smad(2021-7)
1920,4983281,1395,Fibonacci (6.25 km),49.21936798095703,12.056962966918944,1.6180428803601015,1.3986812302908833,1.2921223152811119,0.976302533614304
1921,4983336,1359,Fibonacci (6.25 km),49.2200927734375,9.1299409866333,0.7107986899533254,0.9221440459018653,0.6676958526933576,0.46040570509477985
1922,4983425,1395,Fibonacci (6.25 km),49.22127151489258,10.938940048217772,1.1723023763545266,1.7979271488612842,1.4192345340564771,1.2401402441302494
1923,4983480,1359,Fibonacci (6.25 km),49.22200012207031,8.011917114257812,1.1836371101425602,1.2432552617369288,1.5118227832005737,0.7889311920161046
1924,4983514,1395,Fibonacci (6.25 km),49.222450256347656,12.747940063476562,0.40561051617946653,1.6312228425149897,0.44644079674402637,1.1617522116904024
1925,4983569,1359,Fibonacci (6.25 km),49.223175048828125,9.820917129516602,0.2588682151686817,1.0468436775021943,0.1798612773033897,0.4305513953334925
1926,4983624,1359,Fibonacci (6.25 km),49.22390365600586,6.893894195556641,-0.2478676738416522,1.8709861493106097,-0.04926240638073316,1.2400752805859112
1927,4983658,1395,Fibonacci (6.25 km),49.2243537902832,11.629916191101074,2.045475218972272,1.9193836049761785,1.7350547289108815,1.082926148469303
1928,4983713,1359,Fibonacci (6.25 km),49.22508239746094,8.702893257141113,1.1147428825764492,0.9749333513979356,0.9253628796300323,0.5689788020308696
1929,4983802,1395,Fibonacci (6.25 km),49.22625732421875,10.511893272399902,1.4318096339600597,2.0778582026085712,1.4780346241983515,1.3144234721779673
1930,4983857,1359,Fibonacci (6.25 km),49.22698593139648,7.584870338439941,0.6829461925162505,1.2681995756339135,1.6134130424837592,0.7064368876131454
1931,4983891,1395,Fibonacci (6.25 km),49.22743606567383,12.320892333984377,1.4855561373314474,1.4004305893467845,1.1264510133947363,1.2120434208459503
1932,4983946,1359,Fibonacci (6.25 km),49.22816467285156,9.39387035369873,0.413750257322458,0.8874236768910895,0.32182504012422564,0.36544055013574284
1933,4984035,1395,Fibonacci (6.25 km),49.229339599609375,11.202869415283203,1.7990956602256714,1.5156912214752831,2.5622569596004903,0.9581641731774696
1934,4984090,1359,Fibonacci (6.25 km),49.23006820678711,8.275846481323242,0.9644868635115353,1.5195818961335854,1.1986546042974604,1.0603653532834696
1935,4984124,1395,Fibonacci (6.25 km),49.23051834106445,13.011869430541992,0.383708946349352,1.5670372896623432,0.5500058390999873,1.3165729648499953
1936,4984179,1395,Fibonacci (6.25 km),49.23124694824219,10.084846496582031,0.9417035976113227,1.4951346030362442,0.6350458609437143,0.6944732502648838
1937,4984234,1359,Fibonacci (6.25 km),49.23197555541992,7.15782356262207,0.6630889522034513,1.595550555285055,0.8527300897322709,1.63305309190341
1938,4984268,1395,Fibonacci (6.25 km),49.23242568969727,11.893845558166504,1.687873445630629,1.5246374587321472,1.3714865746837799,1.0794639706636269
