,point,cell,grid,lat,lon,zscore(2021-7),smapi-mean(2021-7),essmi(2021-7)
3981,5097964,1360,Fibonacci (6.25 km),50.76009368896485,9.15241241455078,0.9843428551403371,21.918636762416018,0.7627984157033636
3982,5098019,1360,Fibonacci (6.25 km),50.76084518432617,6.2253899574279785,2.001057958536172,30.126627625446968,1.5647564828670515
3983,5098053,1396,Fibonacci (6.25 km),50.76131057739258,10.96141242980957,1.42932967268525,21.379954358621664,1.2131672889544844
3984,5098108,1360,Fibonacci (6.25 km),50.76205825805664,8.03438949584961,0.25577191625984413,4.650379571268733,0.21670640854355036
3985,5098142,1396,Fibonacci (6.25 km),50.76252365112305,12.770411491394045,1.2838683438359102,24.244985881218152,1.1489192232051928
3986,5098197,1360,Fibonacci (6.25 km),50.763275146484375,9.843389511108398,1.0577587153520585,26.179659611016014,0.8363568316952009
3987,5098252,1360,Fibonacci (6.25 km),50.7640266418457,6.9163665771484375,1.9020958569202022,35.67710981914676,1.560316899870664
3988,5098286,1396,Fibonacci (6.25 km),50.76448822021485,11.652388572692873,0.7863424599171356,16.415116193759612,0.6051230827674385
3989,5098341,1360,Fibonacci (6.25 km),50.76523971557617,8.72536563873291,1.2589705735864989,32.3905901502543,0.9931494518801653
3990,5098430,1396,Fibonacci (6.25 km),50.76645660400391,10.5343656539917,1.2197400176629944,15.04314643057346,0.9220198670099723
3991,5098485,1360,Fibonacci (6.25 km),50.767208099365234,7.607342720031738,1.1204868224352431,24.81223616010184,0.8704138643244804
3992,5098519,1396,Fibonacci (6.25 km),50.767669677734375,12.343364715576172,1.1053026984564172,22.266134061993366,0.960134533899761
3993,5098574,1360,Fibonacci (6.25 km),50.7684211730957,9.416341781616213,1.1257347500049097,25.781030756817525,0.8867468852350515
3994,5098629,1360,Fibonacci (6.25 km),50.76917266845703,6.489319324493408,1.6086254633546726,31.30240948548798,1.3496720336874732
3995,5098663,1396,Fibonacci (6.25 km),50.76963806152344,11.225341796875,0.7619620207744054,18.599069961185645,0.5866631454532995
3996,5098718,1360,Fibonacci (6.25 km),50.770389556884766,8.298318862915039,0.2204373961380701,3.817645969640232,0.16555565784122755
3997,5098752,1396,Fibonacci (6.25 km),50.77085113525391,13.034341812133787,1.0929304577934849,22.896842654074344,0.9443322288071745
3998,5098807,1396,Fibonacci (6.25 km),50.771602630615234,10.107318878173828,0.8412380158940438,18.686548407489838,0.614152168854582
3999,5098862,1360,Fibonacci (6.25 km),50.77235412597656,7.180295944213867,1.1387084127061748,12.735718718323469,1.0234700855021268
4000,5098896,1396,Fibonacci (6.25 km),50.77281951904297,11.9163179397583,0.754623171494804,15.932525625988308,0.5567810892031457
4001,5098951,1360,Fibonacci (6.25 km),50.7735710144043,8.98929500579834,1.214828154491286,26.708312326910104,0.9851337630104595
4002,5099040,1396,Fibonacci (6.25 km),50.774784088134766,10.798295021057127,1.6851736309703658,27.6277872928793,1.374807488214738
4003,5099095,1360,Fibonacci (6.25 km),50.775535583496094,7.871272087097168,0.3388748863071482,5.77774428533868,0.21323695295848877
4004,5099129,1396,Fibonacci (6.25 km),50.7760009765625,12.607294082641602,1.397195559843638,23.434480475117653,1.2710375063973456
4005,5099184,1360,Fibonacci (6.25 km),50.77675247192383,9.680272102355955,0.8447882714520323,19.7700829464553,0.6027874473681435
4006,5099239,1360,Fibonacci (6.25 km),50.77750015258789,6.753249168395996,1.6344108373787196,32.75214613890277,1.3871996867339313
4007,5099273,1396,Fibonacci (6.25 km),50.7779655456543,11.48927116394043,0.24828366446382827,4.623940716900617,0.08042087410543261
4008,5099328,1360,Fibonacci (6.25 km),50.778717041015625,8.562248229980469,0.8590385982395331,20.477867276635845,0.6651766908829347
4009,5099362,1396,Fibonacci (6.25 km),50.77918243408203,13.29827117919922,1.599875462462291,39.3264396754396,1.4845648234928337
4010,5099417,1396,Fibonacci (6.25 km),50.77993392944336,10.371248245239258,0.7095165101231594,10.958421299206845,0.5082580041548813
4011,5099472,1360,Fibonacci (6.25 km),50.78068542480469,7.444225311279297,1.3559035938468564,22.441465538629345,1.1333737581232137
4012,5099506,1396,Fibonacci (6.25 km),50.78114700317383,12.18024730682373,1.1361944622064435,25.839940291998754,1.019533059207559
